,x,y
0,500.0,0.7603540420532227
1,500.0,0.5989618301391602
2,500.0,0.6702899932861328
3,500.0,0.2995278835296631
4,500.0,0.25303196907043457
5,1000.0,2.125058889389038
6,1000.0,3.2741870880126953
7,1000.0,2.306777000427246
8,1000.0,1.1467151641845703
9,1000.0,1.7605788707733154
10,1500.0,7.569681882858276
11,1500.0,9.070343017578125
12,1500.0,3.821010112762451
13,1500.0,2.505511999130249
14,1500.0,7.009500026702881
15,2000.0,12.65869402885437
16,2000.0,6.1874611377716064
17,2000.0,12.744930982589722
18,2000.0,12.911713123321533
19,2000.0,8.805058002471924
20,2500.0,19.659561157226562
21,2500.0,20.04624581336975
22,2500.0,11.0274178981781
23,2500.0,20.242032051086426
24,2500.0,20.051489114761353
25,3000.0,23.111531972885132
26,3000.0,28.99513602256775
27,3000.0,29.205644845962524
28,3000.0,17.351683139801025
29,3000.0,28.913942098617554
30,4000.0,50.250690937042236
31,4000.0,32.243441104888916
32,4000.0,51.22711992263794
33,4000.0,52.06185579299927
34,4000.0,50.20869493484497
35,5000.0,80.63517808914185
36,5000.0,78.6557240486145
37,5000.0,82.38396883010864
38,5000.0,80.20916700363159
39,5000.0,79.32352900505066
40,6000.0,117.80745601654053
41,6000.0,114.50115489959717
42,6000.0,116.87095594406128
43,6000.0,118.09584379196167
44,6000.0,65.78882789611816
45,8000.0,210.02108716964722
46,8000.0,
47,8000.0,
48,8000.0,
49,8000.0,
50,10000.0,
51,10000.0,
52,10000.0,
53,10000.0,
54,10000.0,
55,12000.0,
56,12000.0,
57,12000.0,
58,12000.0,
59,12000.0,
60,14000.0,
61,14000.0,
62,14000.0,
63,14000.0,
64,14000.0,
65,16000.0,
66,16000.0,
67,16000.0,
68,16000.0,
69,16000.0,
70,18000.0,
71,18000.0,
72,18000.0,
73,18000.0,
74,18000.0,
75,20000.0,
76,20000.0,
77,20000.0,
78,20000.0,
79,20000.0,
80,22000.0,
81,22000.0,
82,22000.0,
83,22000.0,
84,22000.0,
85,24000.0,
86,24000.0,
87,24000.0,
88,24000.0,
89,24000.0,
