,,calculate MST,compute core distances,compute hierarchy and cluster tree,compute outlier scores,find flat result,runtime
2,10000,1135,1191,3245,35,10,5691
2,20000,5524,8433,6726,49,13,20865
2,30000,7415,6726,14964,53,1580,30883
2,40000,15979,16900,23580,76,21,56722
2,50000,31671,39175,36297,85,2495,109901
2,60000,29631,31964,53191,126,19,115140
2,70000,44595,37383,72889,123,33,155244
2,80000,73748,75120,97404,126,6705,253312
2,90000,111125,114871,128365,218,9611,364429
2,100000,144215,153104,156149,289,20783,474772
2,110000,106477,144680,188850,188,25152,465626
2,120000,134190,104176,285046,270,30346,554320
2,130000,180899,183098,268188,273,36250,669029
2,140000,216155,191901,497876,296,40484,947039
2,150000,262117,267385,358706,324,45475,934334
2,160000,340205,321914,431367,314,51264,1145382
2,170000,395100,384840,475582,311,60647,1316780
2,180000,293502,385111,527006,328,66391,1272687
2,190000,351964,276735,712330,313,73488,1415225
2,200000,425843,371006,677146,314,82126,1557343
10,10000,1269,1535,718,37,22,3744
10,20000,5291,6888,1498,62,31,13992
10,30000,10490,10963,5314,73,42,27146
10,40000,29832,39980,11532,99,41,81784
10,50000,40762,48681,13685,119,61,103653
10,60000,51840,56992,31782,157,55,141207
10,70000,92671,106382,13669,167,79,213395
10,80000,107888,121382,18815,192,72,248830
10,90000,163329,190765,17699,163,63,372555
10,100000,228440,281978,24229,206,98,535504
10,110000,203472,215567,33952,267,110,453934
10,120000,236930,237479,30686,280,148,506168
10,130000,305599,327315,42054,196,95,675909
10,140000,455411,550543,31314,323,223,1038536
10,150000,502517,584103,37217,209,156,1124941
10,160000,587525,705038,45652,221,193,1339428
10,170000,701765,869891,43966,305,159,1616921
10,180000,545202,537912,37585,263,141,1121986
10,190000,634634,668872,51130,259,176,1356025
10,200000,747491,811829,72661,279,206,1633414
50,10000,3538,5885,651,34,108,10543
50,20000,20758,33310,1566,53,107,56332
50,30000,48990,74357,3618,71,163,127905
50,40000,89298,132074,4863,83,270,227530
50,50000,134421,193095,18116,128,293,347156
50,60000,208420,316867,9414,117,324,536438
50,70000,269169,388648,13435,161,276,673186
50,80000,372957,562775,14756,181,291,952605
50,90000,443778,625827,25775,190,487,1097881
50,100000,574482,827892,14929,191,370,1419865
50,110000,739143,1117650,21780,237,562,1881618
50,120000,780626,1076784,26329,219,570,1886989
50,130000,943089,1334775,24287,298,502,2305599
50,140000,1133941,1648750,24131,298,461,2810355
50,150000,1235962,1714619,21185,227,388,2975351
50,160000,1435477,2024687,23393,348,695,3487689
50,170000,1662719,2399665,32415,239,481,4098797
50,180000,1763013,2523244,35055,238,424,4325509
50,190000,2018903,2825890,29220,356,678,4878716
50,200000,2340662,3414157,54722,264,517,5814126
