,x,y
0,500.0,0.20913410186767578
1,500.0,0.1672651767730713
2,500.0,0.2197279930114746
3,500.0,0.16644001007080078
4,500.0,0.4967610836029053
5,1000.0,0.7675600051879883
6,1000.0,0.7417697906494141
7,1000.0,0.8895549774169922
8,1000.0,0.4126157760620117
9,1000.0,0.968048095703125
10,1500.0,1.1763808727264404
11,1500.0,3.0749619007110596
12,1500.0,2.075547933578491
13,1500.0,1.1715660095214844
14,1500.0,1.061471939086914
15,2000.0,5.134875059127808
16,2000.0,4.9933249950408936
17,2000.0,3.8307249546051025
18,2000.0,3.842643976211548
19,2000.0,2.865722894668579
20,2500.0,2.9610960483551025
21,2500.0,5.082365989685059
22,2500.0,6.722189903259277
23,2500.0,6.709705829620361
24,2500.0,4.5872650146484375
25,3000.0,6.733718156814575
26,3000.0,6.916104793548584
27,3000.0,19.75383710861206
28,3000.0,17.882086038589478
29,3000.0,12.648613214492798
30,4000.0,7.92743992805481
31,4000.0,29.99407196044922
32,4000.0,27.890224933624268
33,4000.0,36.79447412490845
34,4000.0,25.24106502532959
35,5000.0,28.556666135787964
36,5000.0,29.43406891822815
37,5000.0,38.18829703330994
38,5000.0,76.01222085952759
39,5000.0,27.590825080871582
40,6000.0,59.14825701713562
41,6000.0,42.13695693016052
42,6000.0,49.9448127746582
43,6000.0,33.304725885391235
44,6000.0,60.02200508117676
45,8000.0,154.66774797439575
46,8000.0,
47,8000.0,
48,8000.0,
49,8000.0,
50,10000.0,
51,10000.0,
52,10000.0,
53,10000.0,
54,10000.0,
55,12000.0,
56,12000.0,
57,12000.0,
58,12000.0,
59,12000.0,
60,14000.0,
61,14000.0,
62,14000.0,
63,14000.0,
64,14000.0,
65,16000.0,
66,16000.0,
67,16000.0,
68,16000.0,
69,16000.0,
70,18000.0,
71,18000.0,
72,18000.0,
73,18000.0,
74,18000.0,
75,20000.0,
76,20000.0,
77,20000.0,
78,20000.0,
79,20000.0,
80,22000.0,
81,22000.0,
82,22000.0,
83,22000.0,
84,22000.0,
85,24000.0,
86,24000.0,
87,24000.0,
88,24000.0,
89,24000.0,
